config_id,eval_accuracy,eval_loss,train_loss,training_time,total_steps,success,learning_rate,batch_size,num_epochs,weight_decay,max_token_length,scheduler_type,optimizer_type,gradient_accumulation_steps,fp16,warmup_steps,max_grad_norm,dropout_rate,label_smoothing,lr_scheduler_type,dataloader_num_workers,save_strategy,evaluation_strategy,logging_steps,adam_beta1,adam_beta2,adam_epsilon
62,0.8320000171661377,0.9443456530570984,0.4286405696657491,523.639,406,True,5e-05,8,7,0.0,1024,cosine,adamw,2,False,500,0.5,0.2,0.0,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
63,0.9039999842643738,0.7228861451148987,0.6713219258585587,528.9264,406,True,5e-05,8,7,0.01,1024,linear,adamw,2,True,100,1.0,0.2,0.1,linear,0,epoch,epoch,100,0.9,0.999,1e-08
64,0.8880000114440918,0.7507480382919312,0.7297708929465909,531.7446,406,True,5e-05,8,7,0.01,1024,cosine,adamw,2,False,100,1.0,0.2,0.1,cosine,0,epoch,epoch,100,0.9,0.999,1e-08
67,0.2160000056028366,1.795328974723816,1.6446151069972825,875.0086,805,True,1e-05,2,7,0.1,512,constant,adamw,4,False,0,1.0,0.3,0.1,cosine,2,epoch,epoch,500,0.9,0.999,1e-08
68,0.07999999821186066,1.8777575492858887,1.8153465534078663,458.8246,290,True,3e-05,8,10,0.01,1024,constant,adamw,4,True,500,1.0,0.3,0.0,polynomial,4,steps,steps,100,0.95,0.999,1e-08
69,0.8320000171661377,1.1676546335220337,0.36950888323226,311.5898,812,True,5e-05,8,7,0.01,512,cosine,adamw,1,True,100,0.5,0.2,0.0,cosine,4,steps,steps,100,0.9,0.98,1e-06
75,0.23199999332427979,1.7298283576965332,1.8301191658809268,176.8439,174,True,5e-05,8,3,0.0,512,cosine,adamw,2,True,100,0.5,0.3,0.0,polynomial,0,epoch,epoch,50,0.95,0.999,1e-06
97,0.8640000224113464,0.46992313861846924,0.34030109863532215,242.7996,285,True,2e-05,4,5,0.0,512,cosine,adamw,4,False,100,1.0,0.1,0.0,linear,2,steps,steps,100,0.9,0.98,1e-06
99,0.29600000381469727,1.8044010400772095,1.816009521484375,396.5339,406,True,5e-05,16,7,0.01,512,cosine,adamw,1,False,100,1.0,0.2,0.2,polynomial,2,epoch,epoch,500,0.9,0.98,1e-06
101,0.800000011920929,1.1069207191467285,0.16766855260678407,499.2766,580,True,2e-05,8,10,0.0,1024,constant,adamw,2,False,0,2.0,0.1,0.0,polynomial,0,steps,steps,500,0.95,0.98,1e-08
103,0.8560000061988831,0.7070320248603821,0.7555032664331897,157.5833,145,True,2e-05,8,5,0.0,512,linear,adamw,4,False,0,2.0,0.1,0.1,polynomial,4,steps,steps,50,0.9,0.999,1e-06
115,0.8320000171661377,0.7687239050865173,1.3103427775422034,153.3324,171,True,3e-05,4,3,0.01,512,linear,adamw,4,True,500,2.0,0.2,0.1,polynomial,4,steps,steps,50,0.9,0.999,1e-06
119,0.7599999904632568,0.6972571015357971,1.4058577031674593,1002.2747,1150,True,1e-05,2,10,0.01,512,linear,adamw,4,False,100,0.5,0.3,0.0,linear,2,steps,steps,500,0.95,0.999,1e-08
122,0.2720000147819519,1.8305621147155762,1.8220674699175066,526.4507,693,True,5e-05,4,7,0.1,512,linear,adamw,2,False,0,0.5,0.3,0.2,cosine,4,epoch,epoch,50,0.95,0.98,1e-06
131,0.871999979019165,0.7530741691589355,0.36367063226465884,410.2353,693,True,2e-05,2,3,0.1,512,constant,adamw,2,False,0,2.0,0.1,0.0,polynomial,0,epoch,epoch,500,0.9,0.98,1e-06
133,0.8399999737739563,0.7919473648071289,1.1881836003270643,290.7306,290,True,2e-05,16,5,0.1,512,linear,adamw,1,False,100,2.0,0.2,0.1,polynomial,2,epoch,epoch,50,0.95,0.98,1e-08
138,0.2720000147819519,2.046093463897705,1.8421282087053572,497.7481,1386,True,2e-05,2,3,0.1,1024,constant,adamw,1,False,0,0.5,0.3,0.1,polynomial,0,epoch,epoch,100,0.9,0.98,1e-08
141,0.9039999842643738,0.6697181463241577,0.7148323689336362,571.8956,575,True,1e-05,2,5,0.0,1024,cosine,adamw,4,False,500,2.0,0.1,0.1,polynomial,2,steps,steps,50,0.9,0.999,1e-08
143,0.29600000381469727,1.830143690109253,1.8711891174316406,295.0602,800,True,2e-05,2,5,0.1,1024,linear,adamw,1,False,100,0.5,0.3,0.2,cosine,2,steps,steps,100,0.95,0.999,1e-08
152,0.17599999904632568,1.7930573225021362,1.8228020127770936,307.5724,203,True,3e-05,8,7,0.0,1024,cosine,adamw,4,True,0,1.0,0.3,0.1,polynomial,4,steps,steps,500,0.95,0.999,1e-08
154,0.23199999332427979,1.7675467729568481,1.8227496969288792,211.2614,290,True,3e-05,16,10,0.1,512,cosine,adamw,2,False,500,0.5,0.3,0.0,polynomial,2,steps,steps,100,0.95,0.98,1e-06
156,0.13600000739097595,1.905574083328247,1.817008640455163,264.777,345,True,2e-05,2,3,0.01,512,cosine,adamw,4,False,500,1.0,0.3,0.1,polynomial,0,steps,steps,50,0.95,0.98,1e-08
158,0.8399999737739563,0.9527114033699036,0.7139138374493752,745.6411,2310,True,5e-05,2,5,0.1,512,cosine,adamw,1,True,500,0.5,0.2,0.1,linear,2,epoch,epoch,100,0.9,0.999,1e-08
159,0.871999979019165,1.0050954818725586,0.9198318142361112,1002.5987,1800,True,5e-05,2,10,0.0,1024,constant,adamw,2,True,100,2.0,0.2,0.2,linear,4,steps,steps,100,0.9,0.98,1e-06
167,0.2720000147819519,1.7860857248306274,1.8376978380926725,360.993,580,True,5e-05,8,5,0.1,512,constant,adamw,1,False,100,0.5,0.3,0.0,linear,2,epoch,epoch,50,0.95,0.999,1e-08
169,0.2160000056028366,1.7935529947280884,1.8328682033494972,254.7311,348,True,2e-05,8,3,0.0,1024,constant,adamw,1,False,0,1.0,0.3,0.1,polynomial,0,epoch,epoch,500,0.9,0.98,1e-08
170,0.2720000147819519,1.7855478525161743,1.8042757771809896,431.3131,750,True,1e-05,2,5,0.1,1024,cosine,adamw,2,True,500,2.0,0.3,0.2,linear,0,steps,steps,50,0.9,0.98,1e-08
